DIGEST	COUNT_STAR	SUM_TIMER_WAIT	SUM_ROWS_EXAMINED	t
40706047619acc576e9611d55282a3fe80726d82dcebf1263a1f33df4a1d77ec	1	564483000	3	SELECT `ID` , SUBJECT FROM `QUESTION` LIMIT ?
b169d95a9844bb1e540e687e6db06a8ebab8bab98d370c8cc2ae0c4e3ba340f9	2	1541297000	7	SELECT `ID` , SUBJECT FROM `QUESTION` ORDER BY `ID` DESC LIMIT ?
ef7be30669519f9791051c905b5f7ddb75d6e28edba0d5d6f082c50b183c23dc	1	432770000	2	SELECT SUBSTRING ( `CONTENT` , ?, ... ) AS `content_sample` FROM `QUESTION` LIMIT ?
06d1f5588764289cf8d7a0da3d118235552e01c2348eee02d6d0964a74f4c9c4	1	34086601000	10000	SELECT COUNT ( * ) AS `jaba` FROM `QUESTION` WHERE SUBJECT LIKE ? OR `CONTENT` LIKE ?
c525136eb83ae589a0a20574f241b74215edd3f3731b2be3f7bc7379eab9c323	1	280850053000	3	SELECT ? `kw` , COUNT ( * ) `c` FROM `QUESTION` WHERE MATCH ( SUBJECT , `CONTENT` ) AGAINST ( ? IN B
94907f9e1f177f43d62d06e94ae5085abd16c4327203993889a53a0fcaa1649a	321	2596991840858000	87110836	SELECT COUNT ( DISTINCTROW `q` . `ID` ) FROM `QUESTION` `q` LEFT JOIN `SITE_USER` `u1` ON `q` . `AUT
66ac885f3d7c7c6afa68004acb47031d197379b8bcd39befb9228c7a5183b2b8	1	2569318322000	124835	SELECT `a1_0` . `ID` , `a1_0` . `AUTHOR_ID` , `a1_0` . `CONTENT` , `a1_0` . `CREATE_DATE` , `a1_0` .
dc5cda2d58000c5a231862c9961c612cd440a99189ac7df51a2f3a09d3350d34	124835	71062903537000	0	SELECT `av1_0` . `ANSWER_ID` , `av1_0` . `ID` , `av1_0` . `SITE_USER_ID` FROM `ANSWER_VOTER` `av1_0`
f8147416d48fbe696e32a1c1d54c59d0661cf0288c7ac80ace3675ba7ec6424a	3	355567371000	30000	SELECT `q1_0` . `ID` , `q1_0` . `AUTHOR_ID` , `q1_0` . `CONTENT` , `q1_0` . `CREATE_DATE` , `q1_0` .
4155310b62a0bb19e1703699f8323095a0126065a91f04ad6cfe4ceeffc4d9d8	10000	4435856906000	0	SELECT `qv1_0` . `QUESTION_ID` , `qv1_0` . `ID` , `qv1_0` . `SITE_USER_ID` FROM `QUESTION_VOTER` `qv
7ca017a95daea1e076d6a162e32832b7f6c87fb3d837ef808cdc723b4d85306a	3	10917228000	3000	SELECT `su1_0` . `ID` , `su1_0` . `EMAIL` , `su1_0` . `PASSWORD` , `su1_0` . `USERNAME` FROM `SITE_U
9dcb24ef4689dde1663ef219330e3bd83eb8dde4522bca8e34f1871020773f2d	3	1110616488000	3	SELECT ( SELECT COUNT ( * ) FROM `QUESTION` ) `Q` , ( SELECT COUNT ( * ) FROM `ANSWER` ) `A` , ( SEL
5c5ca7dc894ea7d0d7aa1da29eda8eb1b01c85d14a7c0aab4f62c9a87b453ba3	1	2364054866000	1	SELECT ( SELECT COUNT ( * ) FROM `QUESTION` ) `Q` , ( SELECT COUNT ( * ) FROM `ANSWER` ) `A`
91a06e050424c3acbb1149e0392a5943dade7f5be4369a05b0bccd20b7540be1	1	823819000	0	SELECT COUNT ( * ) AS `voter_rows` FROM `QUESTION_VOTER`
d6c787882556b2a2959642c00b8b7edfbe5af597bc40187e2a6c767c15830b12	1	2086844000	61	SELECT TABLE_NAME , `INDEX_NAME` , `INDEX_TYPE` FROM `information_schema` . `STATISTICS` WHERE `TABL
08dd477ab4ea503cf9023566ad8936f7fe97e2070b404b25083e084e59812e37	1	172879716000	70000	SELECT ? `kw` , ? AS `target_pct` , COUNT ( * ) `c` , `ROUND` ( COUNT ( * ) / ?, ... ) AS `actual_pc
0fa2dfa5085229abdd8503e08029addd3837f2d99ac563456f2094245d80e723	1	6734440000	113	SELECT TABLE_NAME , `INDEX_NAME` , `INDEX_TYPE` , GROUP_CONCAT ( COLUMN_NAME ORDER BY `SEQ_IN_INDEX`
07f3bc68c521624aa47e389e9baa114bacff0d8768f3dd4354965920d9b6b44f	1	39720245000	7	SELECT ? `kw` , COUNT ( * ) `ft_cnt` FROM `QUESTION` WHERE MATCH ( SUBJECT , `CONTENT` ) AGAINST ( ?
bb93c401cf711ae2805d255b1f80352921038ef4cc196394986e490741f47d76	28	18139449000	0	SELECT `tq1_0` . `QUESTION_ID` , `tq1_0` . `ANSWER_COUNT` , `tq1_0` . `AUTHOR_USERNAME` , `tq1_0` . 
a9f016595ee7936ede6e8d2c1b45db62b04784962daee62ca7da2db188b47731	3	680175000	3	SELECT ? AS `variant`
cba3962735a61f6aba254f48ae97d6ca09f70a85bbbed7408e8cc9960db60e32	1	140438000	1	SELECT ? AS `x`
67a6f1ecf87dd5d803dd836a845253ee3d4998b39b28f97d3d3ff527fd2de8c0	5	289649155000	101190	SELECT `q` . * FROM `QUESTION` `q` WHERE `q` . `ID` IN ( SELECT `q2` . `ID` FROM `QUESTION` `q2` WHE
6464ac2329f75c9eca6a370574ee341827fe152087c04bab05cbfeda1e5b9954	5	22026834000	2108	SELECT COUNT ( * ) FROM ( SELECT `q2` . `ID` FROM `QUESTION` `q2` WHERE MATCH ( `q2` . `SUBJECT` , `
